First Model,Second Model,No. of common elements,Difference in availability,No. of diverging elements
14,18,5923,1578,21
14,19,5943,1967,1
14,20,5944,2211,0
14,21,5944,2504,0
14,22,5944,3308,0
14,23,5944,4055,0
14,24,5942,3448,2
14,25,5944,3683,0
14,26,5944,3822,0
14,27,5944,3986,0
14,28,5944,4348,0
14,29,5944,4594,0
14,30,5943,4182,1
14,31,5944,4268,0
14,32,5944,4342,0
14,33,5944,4408,0
14,34,5944,4567,0
14,35,5944,4664,0
15,16,6310,1237,0
15,17,6310,2624,0
15,18,6264,1212,46
15,19,6303,1601,7
15,20,6308,1845,2
15,21,6310,2138,0
15,22,6310,2942,0
15,23,6310,3689,0
15,24,6307,3082,3
15,25,6310,3317,0
15,26,6310,3456,0
15,27,6310,3620,0
15,28,6310,3982,0
15,29,6310,4228,0
15,30,6309,3816,1
15,31,6310,3902,0
15,32,6310,3976,0
15,33,6310,4042,0
15,34,6310,4201,0
15,35,6310,4298,0
16,17,7547,1387,0
16,18,7170,25,352
16,19,7385,364,162
16,20,7463,608,84
16,21,7521,901,26
16,22,7547,1705,0
16,23,7547,2452,0
16,24,7518,1845,29
16,25,7543,2080,4
16,26,7545,2219,2
16,27,7547,2383,0
16,28,7547,2745,0
16,29,7547,2991,0
16,30,7541,2579,6
16,31,7547,2665,0
16,32,7547,2739,0
16,33,7547,2805,0
16,34,7547,2964,0
16,35,7547,3061,0
17,18,7493,1412,29
17,19,7859,1023,52
17,20,8080,779,75
17,21,8340,486,108
17,22,8823,318,111
17,23,8934,1065,0
17,24,8642,458,292
17,25,8772,693,162
17,26,8819,832,115
17,27,8865,996,69
17,28,8928,1358,6
17,29,8934,1604,0
17,30,8864,1192,70
17,31,8900,1278,34
17,32,8911,1352,23
17,33,8920,1418,14
17,34,8933,1577,1
17,35,8934,1674,0
18,19,7522,389,0
18,20,7522,633,0
18,21,7522,926,0
18,22,7522,1730,0
18,23,7522,2477,0
18,24,7521,1870,1
18,25,7522,2105,0
18,26,7522,2244,0
18,27,7522,2408,0
18,28,7522,2770,0
18,29,7522,3016,0
18,30,7521,2604,1
18,31,7522,2690,0
18,32,7522,2764,0
18,33,7522,2830,0
18,34,7522,2989,0
18,35,7522,3086,0
19,20,7911,244,0
19,21,7911,537,0
19,22,7911,1341,0
19,23,7911,2088,0
19,24,7898,1481,13
19,25,7911,1716,0
19,26,7911,1855,0
19,27,7911,2019,0
19,28,7911,2381,0
19,29,7911,2627,0
19,30,7910,2215,1
19,31,7911,2301,0
19,32,7911,2375,0
19,33,7911,2441,0
19,34,7911,2600,0
19,35,7911,2697,0
20,21,8155,293,0
20,22,8155,1097,0
20,23,8155,1844,0
20,24,8131,1237,24
20,25,8155,1472,0
20,26,8155,1611,0
20,27,8155,1775,0
20,28,8155,2137,0
20,29,8155,2383,0
20,30,8152,1971,3
20,31,8155,2057,0
20,32,8155,2131,0
20,33,8155,2197,0
20,34,8155,2356,0
20,35,8155,2453,0
21,22,8448,804,0
21,23,8448,1551,0
21,24,8396,944,52
21,25,8445,1179,3
21,26,8447,1318,1
21,27,8448,1482,0
21,28,8448,1844,0
21,29,8448,2090,0
21,30,8443,1678,5
21,31,8448,1764,0
21,32,8448,1838,0
21,33,8448,1904,0
21,34,8448,2063,0
21,35,8448,2160,0
22,23,9252,747,0
22,24,8987,140,265
22,25,9131,375,121
22,26,9183,514,69
22,27,9225,678,27
22,28,9252,1040,0
22,29,9252,1286,0
22,30,9217,874,35
22,31,9243,960,9
22,32,9247,1034,5
22,33,9249,1100,3
22,34,9252,1259,0
22,35,9252,1356,0
23,24,9254,607,138
23,25,9458,372,169
23,26,9567,233,199
23,27,9688,69,242
23,28,9936,293,63
23,29,9999,539,0
23,30,9747,127,252
23,31,9824,213,175
23,32,9880,287,119
23,33,9928,353,71
23,34,9997,512,2
23,35,9999,609,0
24,25,9392,235,0
24,26,9392,374,0
24,27,9392,538,0
24,28,9392,900,0
24,29,9392,1146,0
24,30,9392,734,0
24,31,9392,820,0
24,32,9392,894,0
24,33,9392,960,0
24,34,9392,1119,0
24,35,9392,1216,0
25,26,9627,139,0
25,27,9627,303,0
25,28,9627,665,0
25,29,9627,911,0
25,30,9618,499,9
25,31,9627,585,0
25,32,9627,659,0
25,33,9627,725,0
25,34,9627,884,0
25,35,9627,981,0
26,27,9766,164,0
26,28,9766,526,0
26,29,9766,772,0
26,30,9751,360,15
26,31,9765,446,1
26,32,9766,520,0
26,33,9766,586,0
26,34,9766,745,0
26,35,9766,842,0
27,28,9930,362,0
27,29,9930,608,0
27,30,9889,196,41
27,31,9921,282,9
27,32,9930,356,0
27,33,9930,422,0
27,34,9930,581,0
27,35,9930,678,0
28,29,10292,246,0
28,30,10077,166,49
28,31,10156,80,56
28,32,10219,6,67
28,33,10262,60,30
28,34,10292,219,0
28,35,10292,316,0
29,30,10118,412,8
29,31,10202,326,10
29,32,10276,252,10
29,33,10342,186,10
29,34,10492,27,19
29,35,10538,70,0
30,31,10126,86,0
30,32,10126,160,0
30,33,10126,226,0
30,34,10126,385,0
30,35,10126,482,0
31,32,10212,74,0
31,33,10212,140,0
31,34,10212,299,0
31,35,10212,396,0
32,33,10286,66,0
32,34,10286,225,0
32,35,10286,322,0
33,34,10352,159,0
33,35,10352,256,0
34,35,10511,97,0
