First Model,Second Model,No. of common elements,Difference in availability,No. of diverging elements
24,32,8278,15059,0
24,33,8278,15284,0
24,34,8278,15589,0
24,35,8278,15696,0
25,26,11924,2064,0
25,27,11924,4881,0
25,28,11924,9412,0
25,29,11924,11605,0
25,30,11889,10749,35
25,31,11924,11193,0
25,32,11924,11413,0
25,33,11924,11638,0
25,34,11924,11943,0
25,35,11924,12050,0
26,27,13988,2817,0
26,28,13988,7348,0
26,29,13988,9541,0
26,30,13929,8685,59
26,31,13987,9129,1
26,32,13988,9349,0
26,33,13988,9574,0
26,34,13988,9879,0
26,35,13988,9986,0
27,28,16805,4531,0
27,29,16805,6724,0
27,30,16708,5868,97
27,31,16801,6312,4
27,32,16805,6532,0
27,33,16805,6757,0
27,34,16805,7062,0
27,35,16805,7169,0
28,29,21336,2193,0
28,30,20963,1337,373
28,31,21211,1781,125
28,32,21279,2001,57
28,33,21321,2226,15
28,34,21336,2531,0
28,35,21336,2638,0
29,30,22578,856,95
29,31,22991,412,126
29,32,23170,192,167
29,33,23327,33,202
29,34,23506,338,23
29,35,23529,445,0
30,31,22673,444,0
30,32,22673,664,0
30,33,22673,889,0
30,34,22673,1194,0
30,35,22673,1301,0
31,32,23117,220,0
31,33,23117,445,0
31,34,23117,750,0
31,35,23117,857,0
32,33,23337,225,0
32,34,23337,530,0
32,35,23337,637,0
33,34,23562,305,0
33,35,23562,412,0
34,35,23867,107,0
